995850,1536723
995850,1538228
995850,1538319
998087,1538228
1014298,1536723
1014298,1538228
1014298,1538319
1014684,1538228
1015887,1536723
1015887,1538228
1015887,1538319
1018946,1536723
1018946,1538228
1018946,1538319
1085074,1538228
1087581,1538228
1120000,1538228
1121324,1538228
1283918,1538228
1283941,1538228
1283964,1538228
1287553,1538228
1312120,1538228
1319246,1536723
1319246,1538228
1319246,1538319
1456050,1536723
1456050,1538228
1456050,1538319
1456052,1536723
1456052,1538228
1456052,1538319
1456054,1536723
1456054,1538228
1456054,1538319
1456056,1536723
1456056,1538228
1456056,1538319
1456058,1536723
1456058,1538228
1456058,1538319
1456080,1536723
1456080,1538228
1456080,1538319
1456082,1536723
1456082,1538228
1456082,1538319
1456084,1536723
1456084,1538228
1456084,1538319
1472894,1538228
1538132,1538228
